 statid;timeobs;Direct_normal_illuminance_mean_[lx];Quality_label
614100;2009010100;     0;1000
614100;2009010101;     0;1000
614100;2009010102;     0;1000
614100;2009010103;     0;1000
614100;2009010104;     0;1000
614100;2009010105;     0;1000
614100;2009010106;     0;1000
614100;2009010107;     0;1000
614100;2009010108;     0;1000
614100;2009010109; 14499;1000
614100;2009010110; 17999;1000
614100;2009010111; 19212;1000
614100;2009010112;  7974;1000
614100;2009010113;  4147;1000
614100;2009010114;   362;1000
614100;2009010115;  3429;1000
614100;2009010116;     0;1000
614100;2009010117;     0;1000
614100;2009010118;     0;1000
614100;2009010119;     0;1000
614100;2009010120;     0;1000
614100;2009010121;     0;1000
614100;2009010122;     0;1000
614100;2009010123;     0;1000
614100;2009010200;     0;1000
614100;2009010201;     0;1000
614100;2009010202;     0;1000
614100;2009010203;     0;1000
614100;2009010204;     0;1000
614100;2009010205;     0;1000
614100;2009010206;     0;1000
614100;2009010207;     0;1000
614100;2009010208;     0;1000
614100;2009010209;  9886;1000
614100;2009010210; 32323;1000
614100;2009010211; 42063;1000
614100;2009010212; 47733;1000
614100;2009010213; 40971;1000
614100;2009010214; 19499;1000
614100;2009010215;  7180;1000
614100;2009010216;     0;1000
614100;2009010217;     0;1000
614100;2009010218;     0;1000
614100;2009010219;     0;1000
614100;2009010220;     0;1000
614100;2009010221;     0;1000
614100;2009010222;     0;1000
614100;2009010223;     0;1000
614100;2009010300;     0;1000
614100;2009010301;     0;1000
614100;2009010302;     0;1000
614100;2009010303;     0;1000
614100;2009010304;     0;1000
614100;2009010305;     0;1000
614100;2009010306;     0;1000
614100;2009010307;     0;1000
614100;2009010308;     0;1000
614100;2009010309;  3264;1000
614100;2009010310;  4619;1000
614100;2009010311;   624;1000
614100;2009010312;  1029;1000
614100;2009010313;     0;1000
614100;2009010314;     0;1000
614100;2009010315;     0;1000
614100;2009010316;     0;1000
614100;2009010317;     0;1000
614100;2009010318;     0;1000
614100;2009010319;     0;1000
614100;2009010320;     0;1000
614100;2009010321;     0;1000
614100;2009010322;     0;1000
614100;2009010323;     0;1000
614100;2009010400;     0;1000
614100;2009010401;     0;1000
614100;2009010402;     0;1000
614100;2009010403;     0;1000
614100;2009010404;     0;1000
614100;2009010405;     0;1000
614100;2009010406;     0;1000
614100;2009010407;     0;1000
614100;2009010408;     0;1000
614100;2009010409;     0;1000
614100;2009010410;     0;1000
614100;2009010411;   109;1000
614100;2009010412;     0;1000
614100;2009010413;     0;1000
614100;2009010414;     0;1000
614100;2009010415;     0;1000
614100;2009010416;     0;1000
614100;2009010417;     0;1000
614100;2009010418;     0;1000
614100;2009010419;     0;1000
614100;2009010420;     0;1000
614100;2009010421;     0;1000
614100;2009010422;     0;1000
614100;2009010423;     0;1000
614100;2009010500;     0;1000
614100;2009010501;     0;1000
614100;2009010502;     0;1000
614100;2009010503;     0;1000
614100;2009010504;     0;1000
614100;2009010505;     0;1000
614100;2009010506;     0;1000
614100;2009010507;     0;1000
614100;2009010508;  1647;1000
614100;2009010509;  9550;1000
614100;2009010510; 25372;1000
614100;2009010511; 46552;1000
614100;2009010512; 49377;1000
614100;2009010513; 44664;1000
614100;2009010514; 23874;1000
614100;2009010515; 14536;1000
614100;2009010516;     0;1000
614100;2009010517;     0;1000
614100;2009010518;     0;1000
614100;2009010519;     0;1000
614100;2009010520;     0;1000
614100;2009010521;     0;1000
614100;2009010522;     0;1000
614100;2009010523;     0;1000
614100;2009010600;     0;1000
614100;2009010601;     0;1000
614100;2009010602;     0;1000
614100;2009010603;     0;1000
614100;2009010604;     0;1000
614100;2009010605;     0;1000
614100;2009010606;     0;1000
614100;2009010607;     0;1000
614100;2009010608;  1166;1000
614100;2009010609;   163;1000
614100;2009010610;  2233;1000
614100;2009010611;  2600;1000
614100;2009010612;   190;1000
614100;2009010613;  1687;1000
614100;2009010614;  4447;1000
614100;2009010615;  6532;1000
614100;2009010616;     0;1000
614100;2009010617;     0;1000
614100;2009010618;     0;1000
614100;2009010619;     0;1000
614100;2009010620;     0;1000
614100;2009010621;     0;1000
614100;2009010622;     0;1000
614100;2009010623;     0;1000
614100;2009010700;     0;1000
614100;2009010701;     0;1000
614100;2009010702;     0;1000
614100;2009010703;     0;1000
614100;2009010704;     0;1000
614100;2009010705;     0;1000
614100;2009010706;     0;1000
614100;2009010707;     0;1000
614100;2009010708;     0;1000
614100;2009010709; 12843;1000
614100;2009010710; 26178;1000
614100;2009010711; 46190;1000
614100;2009010712; 49368;1000
614100;2009010713; 37131;1000
614100;2009010714; 28565;1000
614100;2009010715;  6595;1000
614100;2009010716;     0;1000
614100;2009010717;     0;1000
614100;2009010718;     0;1000
614100;2009010719;     0;1000
614100;2009010720;     0;1000
614100;2009010721;     0;1000
614100;2009010722;     0;1000
614100;2009010723;     0;1000
614100;2009010800;     0;1000
614100;2009010801;     0;1000
614100;2009010802;     0;1000
614100;2009010803;     0;1000
614100;2009010804;     0;1000
614100;2009010805;     0;1000
614100;2009010806;     0;1000
614100;2009010807;     0;1000
614100;2009010808;     0;1000
614100;2009010809;  3497;1000
614100;2009010810; 22644;1000
614100;2009010811; 23859;1000
614100;2009010812; 18631;1000
614100;2009010813; 24014;1000
614100;2009010814; 22616;1000
614100;2009010815;  8572;1000
614100;2009010816;     0;1000
614100;2009010817;     0;1000
614100;2009010818;     0;1000
614100;2009010819;     0;1000
614100;2009010820;     0;1000
614100;2009010821;     0;1000
614100;2009010822;     0;1000
614100;2009010823;     0;1000
614100;2009010900;     0;1000
614100;2009010901;     0;1000
614100;2009010902;     0;1000
614100;2009010903;     0;1000
614100;2009010904;     0;1000
614100;2009010905;     0;1000
614100;2009010906;     0;1000
614100;2009010907;     0;1000
614100;2009010908;     0;1000
614100;2009010909;  5798;1000
614100;2009010910; 24732;1000
614100;2009010911; 32878;1000
614100;2009010912; 36882;1000
614100;2009010913; 34518;1000
614100;2009010914; 19452;1000
614100;2009010915; 13377;1000
614100;2009010916;   505;1000
614100;2009010917;     0;1000
614100;2009010918;     0;1000
614100;2009010919;     0;1000
614100;2009010920;     0;1000
614100;2009010921;     0;1000
614100;2009010922;     0;1000
614100;2009010923;     0;1000
614100;2009011000;     0;1000
614100;2009011001;     0;1000
614100;2009011002;     0;1000
614100;2009011003;     0;1000
614100;2009011004;     0;1000
614100;2009011005;     0;1000
614100;2009011006;     0;1000
614100;2009011007;     0;1000
614100;2009011008;     0;1000
614100;2009011009;     0;1000
614100;2009011010;     0;1000
614100;2009011011;    30;1000
614100;2009011012;     0;1000
614100;2009011013;    41;1000
614100;2009011014;     0;1000
614100;2009011015;     0;1000
614100;2009011016;     0;1000
614100;2009011017;     0;1000
614100;2009011018;     0;1000
614100;2009011019;     0;1000
614100;2009011020;     0;1000
614100;2009011021;     0;1000
614100;2009011022;     0;1000
614100;2009011023;     0;1000
614100;2009011100;     0;1000
614100;2009011101;     0;1000
614100;2009011102;     0;1000
614100;2009011103;     0;1000
614100;2009011104;     0;1000
614100;2009011105;     0;1000
614100;2009011106;     0;1000
614100;2009011107;     0;1000
614100;2009011108;   426;1000
614100;2009011109; 11865;1000
614100;2009011110; 20267;1000
614100;2009011111; 25299;1000
614100;2009011112;  6059;1000
614100;2009011113; 24975;1000
614100;2009011114; 19944;1000
614100;2009011115; 14579;1000
614100;2009011116;     0;1000
614100;2009011117;     0;1000
614100;2009011118;     0;1000
614100;2009011119;     0;1000
614100;2009011120;     0;1000
614100;2009011121;     0;1000
614100;2009011122;     0;1000
614100;2009011123;     0;1000
614100;2009011200;     0;1000
614100;2009011201;     0;1000
614100;2009011202;     0;1000
614100;2009011203;     0;1000
614100;2009011204;     0;1000
614100;2009011205;     0;1000
614100;2009011206;     0;1000
614100;2009011207;     0;1000
614100;2009011208;     0;1000
614100;2009011209; 11180;1000
614100;2009011210; 26600;1000
614100;2009011211; 12515;1000
614100;2009011212;  3394;1000
614100;2009011213;  2211;1000
614100;2009011214;  4307;1000
614100;2009011215;     0;1000
614100;2009011216;     0;1000
614100;2009011217;     0;1000
614100;2009011218;     0;1000
614100;2009011219;     0;1000
614100;2009011220;     0;1000
614100;2009011221;     0;1000
614100;2009011222;     0;1000
614100;2009011223;     0;1000
614100;2009011300;     0;1000
614100;2009011301;     0;1000
614100;2009011302;     0;1000
614100;2009011303;     0;1000
614100;2009011304;     0;1000
614100;2009011305;     0;1000
614100;2009011306;     0;1000
614100;2009011307;     0;1000
614100;2009011308;     0;1000
614100;2009011309;     0;1000
614100;2009011310;     0;1000
614100;2009011311;     0;1000
614100;2009011312;     0;1000
614100;2009011313;     0;1000
614100;2009011314;     0;1000
614100;2009011315;     0;1000
614100;2009011316;     0;1000
614100;2009011317;     0;1000
614100;2009011318;     0;1000
614100;2009011319;     0;1000
614100;2009011320;     0;1000
614100;2009011321;     0;1000
614100;2009011322;     0;1000
614100;2009011323;     0;1000
614100;2009011400;     0;1000
614100;2009011401;     0;1000
614100;2009011402;     0;1000
614100;2009011403;     0;1000
614100;2009011404;     0;1000
614100;2009011405;     0;1000
614100;2009011406;     0;1000
614100;2009011407;     0;1000
614100;2009011408;     0;1000
614100;2009011409;     0;1000
614100;2009011410;     0;1000
614100;2009011411;     0;1000
614100;2009011412;     0;1000
614100;2009011413;     0;1000
614100;2009011414;     0;1000
614100;2009011415;     0;1000
614100;2009011416;     0;1000
614100;2009011417;     0;1000
614100;2009011418;     0;1000
614100;2009011419;     0;1000
614100;2009011420;     0;1000
614100;2009011421;     0;1000
614100;2009011422;     0;1000
614100;2009011423;     0;1000
614100;2009011500;     0;1000
614100;2009011501;     0;1000
614100;2009011502;     0;1000
614100;2009011503;     0;1000
614100;2009011504;     0;1000
614100;2009011505;     0;1000
614100;2009011506;     0;1000
614100;2009011507;     0;1000
614100;2009011508;     0;1000
614100;2009011509;     0;1000
614100;2009011510;     0;1000
614100;2009011511;    32;1000
614100;2009011512;    29;1000
614100;2009011513;     0;1000
614100;2009011514;     0;1000
614100;2009011515;     0;1000
614100;2009011516;     0;1000
614100;2009011517;     0;1000
614100;2009011518;     0;1000
614100;2009011519;     0;1000
614100;2009011520;     0;1000
614100;2009011521;     0;1000
614100;2009011522;     0;1000
614100;2009011523;     0;1000
614100;2009011600;     0;1000
614100;2009011601;     0;1000
614100;2009011602;     0;1000
614100;2009011603;     0;1000
614100;2009011604;     0;1000
614100;2009011605;     0;1000
614100;2009011606;     0;1000
614100;2009011607;     0;1000
614100;2009011608;     0;1000
614100;2009011609; 15983;1000
614100;2009011610;  5796;1000
614100;2009011611;  3978;1000
614100;2009011612;  4524;1000
614100;2009011613;   290;1000
614100;2009011614;    34;1000
614100;2009011615;   190;1000
614100;2009011616;     0;1000
614100;2009011617;     0;1000
614100;2009011618;     0;1000
614100;2009011619;     0;1000
614100;2009011620;     0;1000
614100;2009011621;     0;1000
614100;2009011622;     0;1000
614100;2009011623;     0;1000
614100;2009011700;     0;1000
614100;2009011701;     0;1000
614100;2009011702;     0;1000
614100;2009011703;     0;1000
614100;2009011704;     0;1000
614100;2009011705;     0;1000
614100;2009011706;     0;1000
614100;2009011707;     0;1000
614100;2009011708;     0;1000
614100;2009011709;     0;1000
614100;2009011710;     0;1000
614100;2009011711;     0;1000
614100;2009011712;     0;1000
614100;2009011713;     0;1000
614100;2009011714;     0;1000
614100;2009011715;     0;1000
614100;2009011716;     0;1000
614100;2009011717;     0;1000
614100;2009011718;     0;1000
614100;2009011719;     0;1000
614100;2009011720;     0;1000
614100;2009011721;     0;1000
614100;2009011722;     0;1000
614100;2009011723;     0;1000
614100;2009011800;     0;1000
614100;2009011801;     0;1000
614100;2009011802;     0;1000
614100;2009011803;     0;1000
614100;2009011804;     0;1000
614100;2009011805;     0;1000
614100;2009011806;     0;1000
614100;2009011807;     0;1000
614100;2009011808;     0;1000
614100;2009011809;  2550;1000
614100;2009011810;  2475;1000
614100;2009011811;  8279;1000
614100;2009011812; 10304;1000
614100;2009011813;     0;1000
614100;2009011814;     0;1000
614100;2009011815;     0;1000
614100;2009011816;     0;1000
614100;2009011817;     0;1000
614100;2009011818;     0;1000
614100;2009011819;     0;1000
614100;2009011820;     0;1000
614100;2009011821;     0;1000
614100;2009011822;     0;1000
614100;2009011823;     0;1000
614100;2009011900;     0;1000
614100;2009011901;     0;1000
614100;2009011902;     0;1000
614100;2009011903;     0;1000
614100;2009011904;     0;1000
614100;2009011905;     0;1000
614100;2009011906;     0;1000
614100;2009011907;     0;1000
614100;2009011908;     0;1000
614100;2009011909;     0;1000
614100;2009011910;     0;1000
614100;2009011911;  7785;1000
614100;2009011912; 35480;1000
614100;2009011913; 35215;1000
614100;2009011914; 17865;1000
614100;2009011915;  3140;1000
614100;2009011916;     0;1000
614100;2009011917;     0;1000
614100;2009011918;     0;1000
614100;2009011919;     0;1000
614100;2009011920;     0;1000
614100;2009011921;     0;1000
614100;2009011922;     0;1000
614100;2009011923;     0;1000
614100;2009012000;     0;1000
614100;2009012001;     0;1000
614100;2009012002;     0;1000
614100;2009012003;     0;1000
614100;2009012004;     0;1000
614100;2009012005;     0;1000
614100;2009012006;     0;1000
614100;2009012007;     0;1000
614100;2009012008;     0;1000
614100;2009012009;   252;1000
614100;2009012010;  7039;1000
614100;2009012011; 29277;1000
614100;2009012012; 42885;1000
614100;2009012013; 46726;1000
614100;2009012014; 30858;1000
614100;2009012015; 13806;1000
614100;2009012016;     0;1000
614100;2009012017;     0;1000
614100;2009012018;     0;1000
614100;2009012019;     0;1000
614100;2009012020;     0;1000
614100;2009012021;     0;1000
614100;2009012022;     0;1000
614100;2009012023;     0;1000
614100;2009012100;     0;1000
614100;2009012101;     0;1000
614100;2009012102;     0;1000
614100;2009012103;     0;1000
614100;2009012104;     0;1000
614100;2009012105;     0;1000
614100;2009012106;     0;1000
614100;2009012107;     0;1000
614100;2009012108;     0;1000
614100;2009012109;  9237;1000
614100;2009012110; 29197;1000
614100;2009012111; 46449;1000
614100;2009012112; 50161;1000
614100;2009012113; 47551;1000
614100;2009012114; 31710;1000
614100;2009012115; 13736;1000
614100;2009012116;     0;1000
614100;2009012117;     0;1000
614100;2009012118;     0;1000
614100;2009012119;     0;1000
614100;2009012120;     0;1000
614100;2009012121;     0;1000
614100;2009012122;     0;1000
614100;2009012123;     0;1000
614100;2009012200;     0;1000
614100;2009012201;     0;1000
614100;2009012202;     0;1000
614100;2009012203;     0;1000
614100;2009012204;     0;1000
614100;2009012205;     0;1000
614100;2009012206;     0;1000
614100;2009012207;     0;1000
614100;2009012208;  2511;1000
614100;2009012209; 17334;1000
614100;2009012210; 14436;1000
614100;2009012211; 31060;1000
614100;2009012212; 41156;1000
614100;2009012213; 31198;1000
614100;2009012214;  8551;1000
614100;2009012215;  3109;1000
614100;2009012216;     0;1000
614100;2009012217;     0;1000
614100;2009012218;     0;1000
614100;2009012219;     0;1000
614100;2009012220;     0;1000
614100;2009012221;     0;1000
614100;2009012222;     0;1000
614100;2009012223;     0;1000
614100;2009012300;     0;1000
614100;2009012301;     0;1000
614100;2009012302;     0;1000
614100;2009012303;     0;1000
614100;2009012304;     0;1000
614100;2009012305;     0;1000
614100;2009012306;     0;1000
614100;2009012307;     0;1000
614100;2009012308;  2837;1000
614100;2009012309; 16678;1000
614100;2009012310;  9960;1000
614100;2009012311;    61;1000
614100;2009012312;  3008;1000
614100;2009012313;  1453;1000
614100;2009012314;   482;1000
614100;2009012315;     0;1000
614100;2009012316;     0;1000
614100;2009012317;     0;1000
614100;2009012318;     0;1000
614100;2009012319;     0;1000
614100;2009012320;     0;1000
614100;2009012321;     0;1000
614100;2009012322;     0;1000
614100;2009012323;     0;1000
614100;2009012400;     0;1000
614100;2009012401;     0;1000
