statid;timeobs;Direct_normal_irradiance_mean_[W/m^2];Quality_label
610900;2009010100;   0.0;1000
610900;2009010101;   0.0;1000
610900;2009010102;   0.0;1000
610900;2009010103;   0.0;1000
610900;2009010104;   0.0;1000
610900;2009010105;   0.0;1000
610900;2009010106;   0.0;1000
610900;2009010107;   0.0;1000
610900;2009010108;   0.0;1000
610900;2009010109;  67.9;1000
610900;2009010110; 274.6;1000
610900;2009010111;  70.7;1000
610900;2009010112;  19.4;1000
610900;2009010113;   3.0;1000
610900;2009010114;  23.1;1000
610900;2009010115;  28.3;1000
610900;2009010116;   0.0;1000
610900;2009010117;   0.0;1000
610900;2009010118;   0.0;1000
610900;2009010119;   0.0;1000
610900;2009010120;   0.0;1000
610900;2009010121;   0.0;1000
610900;2009010122;   0.0;1000
610900;2009010123;   0.0;1000
610900;2009010200;   0.0;1000
610900;2009010201;   0.0;1000
610900;2009010202;   0.0;1000
610900;2009010203;   0.0;1000
610900;2009010204;   0.0;1000
610900;2009010205;   0.0;1000
610900;2009010206;   0.0;1000
610900;2009010207;   0.0;1000
610900;2009010208;  12.8;1000
610900;2009010209;   3.5;1000
610900;2009010210;  43.1;1000
610900;2009010211; 297.1;1000
610900;2009010212; 524.2;1000
610900;2009010213; 542.0;1000
610900;2009010214; 249.8;1000
610900;2009010215;   8.7;1000
610900;2009010216;   0.0;1000
610900;2009010217;   0.0;1000
610900;2009010218;   0.0;1000
610900;2009010219;   0.0;1000
610900;2009010220;   0.0;1000
610900;2009010221;   0.0;1000
610900;2009010222;   0.0;1000
610900;2009010223;   0.0;1000
610900;2009010300;   0.0;1000
610900;2009010301;   0.0;1000
610900;2009010302;   0.0;1000
610900;2009010303;   0.0;1000
610900;2009010304;   0.0;1000
610900;2009010305;   0.0;1000
610900;2009010306;   0.0;1000
610900;2009010307;   0.0;1000
610900;2009010308;   5.5;1000
610900;2009010309;  39.1;1000
610900;2009010310;   6.7;1000
610900;2009010311;   3.0;1000
610900;2009010312;   0.0;1000
610900;2009010313;   0.0;1000
610900;2009010314;   0.0;1000
610900;2009010315;   0.0;1000
610900;2009010316;   0.0;1000
610900;2009010317;   0.0;1000
610900;2009010318;   0.0;1000
610900;2009010319;   0.0;1000
610900;2009010320;   0.0;1000
610900;2009010321;   0.0;1000
610900;2009010322;   0.0;1000
610900;2009010323;   0.0;1000
610900;2009010400;   0.0;1000
610900;2009010401;   0.0;1000
610900;2009010402;   0.0;1000
610900;2009010403;   0.0;1000
610900;2009010404;   0.0;1000
610900;2009010405;   0.0;1000
610900;2009010406;   0.0;1000
610900;2009010407;   0.0;1000
610900;2009010408;   0.0;1000
610900;2009010409;   0.0;1000
610900;2009010410;   1.7;1000
610900;2009010411;   0.0;1000
610900;2009010412;   0.8;1000
610900;2009010413;   0.0;1000
610900;2009010414;   0.0;1000
610900;2009010415;   0.0;1000
610900;2009010416;   0.0;1000
610900;2009010417;   0.0;1000
610900;2009010418;   0.0;1000
610900;2009010419;   0.0;1000
610900;2009010420;   0.0;1000
610900;2009010421;   0.0;1000
610900;2009010422;   0.0;1000
610900;2009010423;   0.0;1000
